epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,train/teacher_sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,val/teacher_sal_loss,lr/pg0,lr/pg1,lr/pg2,lambda_sal,beta_teacher
32,3082.42,1.60078,0.76058,0.92283,0.01415,0,0.65837,0.62761,0.59833,0.31856,1.48893,0.73806,0.9383,0.00662,0,0.00099044,0.00099044,0.00099044,0.163876,0
33,3177,1.54929,0.74711,0.92105,0.01428,0,0.65439,0.60152,0.59042,0.31749,1.47766,0.73373,0.93962,0.0063,0,0.000976293,0.000976293,0.000976293,0.161352,0
34,3272.41,1.61428,0.75535,0.91954,0.01133,0,0.68912,0.60243,0.60445,0.3232,1.49096,0.72689,0.94146,0.00635,0,0.000962146,0.000962146,0.000962146,0.158765,0
35,3367.37,1.58478,0.74856,0.91279,0.01369,0,0.66308,0.62767,0.60773,0.32121,1.47421,0.74595,0.94205,0.00631,0,0.000947999,0.000947999,0.000947999,0.156118,0
36,3463.79,1.6014,0.75744,0.91988,0.01137,0,0.68856,0.62245,0.61906,0.32553,1.47976,0.72632,0.9396,0.00594,0,0.000933851,0.000933851,0.000933851,0.153414,0
37,3558.73,1.58483,0.73781,0.91838,0.01132,0,0.68067,0.63354,0.6198,0.33173,1.45123,0.73426,0.93676,0.00644,0,0.000919704,0.000919704,0.000919704,0.150655,0
38,3656.26,1.59261,0.74464,0.91616,0.01201,0,0.66605,0.62267,0.60422,0.31759,1.48662,0.73299,0.94363,0.00618,0,0.000905557,0.000905557,0.000905557,0.147846,0
39,3751.16,1.59162,0.74553,0.91346,0.01087,0,0.67794,0.61378,0.60825,0.32207,1.46586,0.74104,0.93161,0.00638,0,0.00089141,0.00089141,0.00089141,0.144989,0
40,3846.65,1.57106,0.74653,0.9171,0.0109,0,0.65099,0.62436,0.60749,0.32153,1.45914,0.73314,0.93487,0.0063,0,0.000877263,0.000877263,0.000877263,0.142087,0
41,3939.81,1.52407,0.71787,0.91976,0.01,0,0.68951,0.61747,0.61234,0.33001,1.45584,0.71828,0.93896,0.00612,0,0.000863116,0.000863116,0.000863116,0.139144,0
42,4034.39,1.53897,0.72199,0.91177,0.00938,0,0.6618,0.61418,0.59999,0.32998,1.44258,0.72032,0.92958,0.00622,0,0.000848969,0.000848969,0.000848969,0.136162,0
43,4129.45,1.57461,0.73825,0.90847,0.01061,0,0.71307,0.60782,0.6255,0.33493,1.46159,0.70333,0.93389,0.00565,0,0.000834822,0.000834822,0.000834822,0.133146,0
44,4224.13,1.54226,0.72225,0.90708,0.01,0,0.6666,0.61753,0.60744,0.32604,1.46764,0.72498,0.9362,0.00582,0,0.000820675,0.000820675,0.000820675,0.130099,0
45,4318.16,1.54238,0.72836,0.90808,0.00864,0,0.70849,0.62991,0.62985,0.33841,1.4442,0.72211,0.93291,0.00568,0,0.000806528,0.000806528,0.000806528,0.127023,0
46,4415.68,1.54475,0.72191,0.91207,0.00823,0,0.678,0.61875,0.61752,0.31852,1.47595,0.71471,0.93259,0.00585,0,0.00079238,0.00079238,0.00079238,0.123923,0
47,4511.68,1.52142,0.70761,0.90719,0.00941,0,0.69219,0.63064,0.62929,0.33696,1.45196,0.7063,0.93116,0.00577,0,0.000778233,0.000778233,0.000778233,0.120801,0
48,4608.2,1.54419,0.71717,0.90331,0.00753,0,0.69665,0.63343,0.62379,0.33242,1.46177,0.68661,0.93596,0.00547,0,0.000764086,0.000764086,0.000764086,0.117662,0
49,4704.91,1.54173,0.70939,0.90042,0.0085,0,0.69022,0.64123,0.63017,0.33832,1.43343,0.69346,0.92546,0.00576,0,0.000749939,0.000749939,0.000749939,0.114509,0
