epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,lr/pg0,lr/pg1,lr/pg2
37,3381.9,1.58108,0.73926,0.91679,0.00061,0.66983,0.63231,0.61161,0.32636,1.45554,0.72938,0.9366,0.00077,0.000919704,0.000919704,0.000919704
38,3472.19,1.59439,0.74625,0.91609,0.00061,0.66667,0.61814,0.60375,0.31962,1.4845,0.72294,0.9463,0.00081,0.000905557,0.000905557,0.000905557
39,3563.75,1.59262,0.74933,0.91558,0.0006,0.69384,0.60708,0.61855,0.32459,1.45536,0.72301,0.93218,0.00078,0.00089141,0.00089141,0.00089141
40,3654.85,1.56814,0.75048,0.91772,0.00063,0.63285,0.62486,0.59952,0.32042,1.44446,0.71864,0.93395,0.00079,0.000877263,0.000877263,0.000877263
41,3744.72,1.5206,0.72163,0.91881,0.00061,0.67692,0.62405,0.61903,0.32681,1.48062,0.7482,0.94592,0.0008,0.000863116,0.000863116,0.000863116
42,3835.57,1.54172,0.72339,0.91337,0.00059,0.66806,0.60738,0.59779,0.32788,1.44084,0.72334,0.93257,0.00077,0.000848969,0.000848969,0.000848969
43,3927.42,1.56977,0.73638,0.90937,0.00058,0.68389,0.63147,0.62117,0.33302,1.45125,0.69136,0.93233,0.00073,0.000834822,0.000834822,0.000834822
44,4019.61,1.53796,0.71777,0.90517,0.00061,0.63241,0.64036,0.60068,0.32481,1.45284,0.71626,0.92571,0.00077,0.000820675,0.000820675,0.000820675
45,4109.85,1.5365,0.72341,0.9047,0.00062,0.72163,0.61821,0.62512,0.33042,1.44671,0.70207,0.93068,0.00076,0.000806528,0.000806528,0.000806528
46,4202,1.54444,0.71903,0.91257,0.00061,0.68753,0.60631,0.60766,0.31909,1.46474,0.6985,0.93073,0.00076,0.00079238,0.00079238,0.00079238
47,4295.64,1.52263,0.71444,0.90761,0.00058,0.67781,0.6376,0.6177,0.33322,1.44572,0.69892,0.93203,0.00073,0.000778233,0.000778233,0.000778233
48,4387.53,1.54349,0.71852,0.90306,0.00061,0.68746,0.6289,0.62708,0.3299,1.44241,0.69538,0.93189,0.00077,0.000764086,0.000764086,0.000764086
49,4478.84,1.54076,0.71048,0.90129,0.00059,0.68647,0.64137,0.63272,0.33898,1.42327,0.69348,0.92819,0.00074,0.000749939,0.000749939,0.000749939
50,4570.94,1.52384,0.70873,0.90321,0.0006,0.71842,0.62878,0.64024,0.34125,1.42783,0.69278,0.92756,0.00071,0.000735792,0.000735792,0.000735792
51,4662.84,1.53351,0.70838,0.90543,0.0006,0.70489,0.62425,0.63222,0.33371,1.43619,0.71809,0.93345,0.00073,0.000721645,0.000721645,0.000721645
52,4753.53,1.53255,0.70287,0.89898,0.0006,0.67154,0.63641,0.62633,0.33449,1.43828,0.71393,0.92587,0.00076,0.000707498,0.000707498,0.000707498
53,4843.07,1.49992,0.70921,0.90575,0.00059,0.66746,0.62603,0.61456,0.3283,1.47904,0.71184,0.94349,0.00077,0.000693351,0.000693351,0.000693351
54,4934.03,1.51343,0.68845,0.90073,0.00057,0.69203,0.64668,0.6285,0.3375,1.41569,0.68881,0.92261,0.00072,0.000679204,0.000679204,0.000679204
55,5025.52,1.52922,0.69907,0.89582,0.00058,0.67317,0.6334,0.61497,0.33078,1.41496,0.7016,0.92425,0.00074,0.000665057,0.000665057,0.000665057
56,5116.76,1.53248,0.70694,0.90372,0.0006,0.66333,0.63759,0.61119,0.33356,1.41588,0.68142,0.92271,0.00075,0.000650909,0.000650909,0.000650909
57,5207.96,1.50051,0.68854,0.89518,0.00057,0.70644,0.64263,0.64035,0.34388,1.41863,0.66566,0.92558,0.00073,0.000636762,0.000636762,0.000636762
58,5299.1,1.49656,0.68682,0.89299,0.00058,0.67381,0.64893,0.62445,0.33465,1.42174,0.68075,0.92441,0.00075,0.000622615,0.000622615,0.000622615
59,5389.69,1.51287,0.69966,0.89755,0.00058,0.69784,0.64311,0.63455,0.34152,1.41856,0.67204,0.92282,0.00073,0.000608468,0.000608468,0.000608468
60,5480.9,1.48013,0.66511,0.90163,0.00057,0.6732,0.6428,0.63371,0.3406,1.42291,0.67929,0.92541,0.00074,0.000594321,0.000594321,0.000594321
61,5572.21,1.49525,0.67728,0.89589,0.00058,0.70981,0.63398,0.63748,0.33944,1.42611,0.69771,0.92641,0.00073,0.000580174,0.000580174,0.000580174
62,5662.62,1.47841,0.66496,0.89165,0.00057,0.68313,0.64948,0.63453,0.34181,1.40976,0.67642,0.92304,0.00073,0.000566027,0.000566027,0.000566027
63,5752.92,1.47935,0.66515,0.89544,0.00055,0.67498,0.65765,0.63258,0.33683,1.43101,0.67266,0.92949,0.00073,0.00055188,0.00055188,0.00055188
64,5843.95,1.4906,0.67472,0.89492,0.00054,0.7006,0.63808,0.64089,0.34053,1.41539,0.6809,0.92409,0.00073,0.000537733,0.000537733,0.000537733
65,5934.35,1.47991,0.66221,0.88908,0.00055,0.70496,0.62749,0.6319,0.34435,1.41799,0.67635,0.92901,0.00072,0.000523586,0.000523586,0.000523586
66,6025.61,1.52736,0.68454,0.88651,0.00055,0.69812,0.65894,0.6443,0.34817,1.40884,0.66539,0.92276,0.00073,0.000509438,0.000509438,0.000509438
67,6115.94,1.44958,0.65116,0.89166,0.00054,0.67824,0.65928,0.63555,0.34405,1.40242,0.66047,0.91911,0.00071,0.000495291,0.000495291,0.000495291
68,6206.93,1.44645,0.65555,0.89002,0.00056,0.69298,0.66052,0.64226,0.34355,1.40241,0.66918,0.91901,0.0007,0.000481144,0.000481144,0.000481144
69,6298.4,1.47384,0.65974,0.88911,0.00056,0.70126,0.64896,0.64297,0.34597,1.39106,0.66281,0.91747,0.00074,0.000466997,0.000466997,0.000466997
70,6388.24,1.44194,0.6451,0.8829,0.00054,0.70434,0.64324,0.63704,0.34222,1.39612,0.65305,0.91833,0.00072,0.00045285,0.00045285,0.00045285
71,6479.36,1.45716,0.64983,0.8893,0.00054,0.68956,0.65217,0.64873,0.34763,1.40989,0.6576,0.92489,0.00074,0.000438703,0.000438703,0.000438703
72,6570.74,1.44638,0.64695,0.88695,0.00056,0.68696,0.64614,0.63281,0.34118,1.39987,0.65421,0.91887,0.0007,0.000424556,0.000424556,0.000424556
73,6661.78,1.45764,0.65022,0.88578,0.00055,0.70472,0.65534,0.64166,0.34521,1.40674,0.65825,0.9192,0.00073,0.000410409,0.000410409,0.000410409
74,6753.03,1.43506,0.63353,0.88839,0.00054,0.68848,0.65312,0.64246,0.34681,1.38244,0.65221,0.91218,0.00072,0.000396262,0.000396262,0.000396262
75,6844.77,1.46107,0.65213,0.88267,0.00055,0.70042,0.652,0.65079,0.35248,1.39493,0.65071,0.91814,0.00072,0.000382115,0.000382115,0.000382115
