epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1843.38,1.53942,0.7197,0.91667,0.6638,0.60642,0.60026,0.32526,1.44624,0.7308,0.94109,0.000848969,0.000848969,0.000848969
43,1887.27,1.56869,0.73805,0.91152,0.69061,0.613,0.61941,0.33372,1.44279,0.69779,0.93329,0.000834822,0.000834822,0.000834822
44,1931.03,1.54305,0.72257,0.9084,0.69526,0.6308,0.62437,0.32986,1.47163,0.71036,0.9392,0.000820675,0.000820675,0.000820675
45,1974.39,1.53683,0.72476,0.90728,0.66788,0.64379,0.61975,0.33114,1.46072,0.71798,0.93884,0.000806528,0.000806528,0.000806528
46,2017.61,1.53862,0.71975,0.91221,0.65052,0.61829,0.60152,0.31525,1.47843,0.7135,0.9394,0.00079238,0.00079238,0.00079238
47,2061.39,1.51993,0.70392,0.9082,0.69215,0.62971,0.62323,0.33554,1.45422,0.70585,0.93458,0.000778233,0.000778233,0.000778233
48,2105.52,1.54248,0.71611,0.90479,0.6879,0.62522,0.62674,0.3291,1.47539,0.7042,0.9441,0.000764086,0.000764086,0.000764086
49,2149.34,1.54309,0.7107,0.9042,0.70463,0.63977,0.6272,0.33933,1.42765,0.68492,0.93112,0.000749939,0.000749939,0.000749939
50,2193.43,1.52098,0.70129,0.90414,0.70286,0.64809,0.64744,0.34618,1.42746,0.68634,0.9298,0.000735792,0.000735792,0.000735792
51,2237.72,1.52608,0.69935,0.90521,0.69172,0.6442,0.6314,0.33573,1.45782,0.69323,0.94246,0.000721645,0.000721645,0.000721645
52,2281.53,1.53015,0.70177,0.90049,0.65129,0.64415,0.61452,0.3305,1.44012,0.7087,0.93108,0.000707498,0.000707498,0.000707498
53,2324.53,1.49534,0.70763,0.90649,0.69534,0.61081,0.61984,0.32677,1.47532,0.70515,0.94431,0.000693351,0.000693351,0.000693351
54,2368.15,1.51285,0.68819,0.90273,0.71347,0.63323,0.63002,0.33401,1.44798,0.7066,0.93344,0.000679204,0.000679204,0.000679204
55,2412.48,1.53199,0.69775,0.89938,0.67818,0.65422,0.63603,0.34012,1.42868,0.68767,0.9333,0.000665057,0.000665057,0.000665057
56,2456.14,1.52667,0.70163,0.90451,0.6678,0.64368,0.62691,0.33526,1.43565,0.68487,0.93191,0.000650909,0.000650909,0.000650909
57,2499.79,1.49802,0.68883,0.89448,0.71419,0.62657,0.62921,0.34053,1.42251,0.6687,0.93108,0.000636762,0.000636762,0.000636762
58,2543.4,1.49318,0.68174,0.89321,0.68245,0.64407,0.62612,0.33617,1.42699,0.68289,0.92609,0.000622615,0.000622615,0.000622615
59,2586.72,1.50426,0.69152,0.89922,0.69133,0.6394,0.63725,0.34133,1.42414,0.66637,0.93088,0.000608468,0.000608468,0.000608468
60,2630.79,1.47583,0.66327,0.90415,0.69117,0.6434,0.63517,0.34185,1.43665,0.67326,0.93326,0.000594321,0.000594321,0.000594321
61,2674.55,1.48794,0.67693,0.8964,0.6614,0.64589,0.61988,0.33584,1.42658,0.71791,0.92862,0.000580174,0.000580174,0.000580174
62,2717.73,1.4769,0.66226,0.8939,0.70233,0.65624,0.64566,0.34664,1.41435,0.66284,0.9268,0.000566027,0.000566027,0.000566027
63,2761.29,1.47807,0.66172,0.89736,0.67572,0.6433,0.62849,0.34188,1.42944,0.67414,0.93408,0.00055188,0.00055188,0.00055188
64,2805.59,1.48688,0.66996,0.89419,0.69725,0.65129,0.63838,0.34194,1.41861,0.68109,0.92551,0.000537733,0.000537733,0.000537733
65,2849.63,1.47816,0.66219,0.88871,0.69461,0.63497,0.63138,0.34226,1.42371,0.67412,0.93294,0.000523586,0.000523586,0.000523586
66,2893.94,1.52307,0.67988,0.88515,0.70838,0.64209,0.64813,0.34681,1.42299,0.65963,0.93059,0.000509438,0.000509438,0.000509438
