run,mAP50,mAP50-95,delta_vs_baseline,recall_tiny,recall_small,pointing_game,energy_in_box,BER,recommended_use,note
baseline_yolov8s,0.6567373746880135,0.35861499970281036,0.0,0.7573862748163201,0.9402985074626866,,,,not enough XAI data,best epoch=94
srw_only_p3_seed0,0.6617551920772471,0.36183289109995853,0.003217891397148176,0.7547287791152103,0.9430624654505252,,,,not enough XAI data,tiny recall below baseline; best epoch=99
srw_lsal_p3_warmup_decay_seed0,0.6673809662427156,0.36385153445195534,0.005236534749144983,0.7492574644364546,0.9331122166943062,0.028953229398663696,0.019027255775006146,0.9809727442249938,better XAI localization candidate,tiny recall below baseline; best epoch=100
srw_lsal_energy_bg_seed0,0.6739069709005417,0.3661881565385426,0.007573156835732231,0.7478505549476318,0.9375345494748479,0.011135857461024499,0.017240189455773127,0.9827598105442269,best detection candidate,tiny recall below baseline; best epoch=99
