epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1883.48,1.61335,0.7814,0.9212,0.68147,0.61744,0.60728,0.32218,1.45571,0.71811,0.93732,0.000848969,0.000848969,0.000848969
43,1928.62,1.60906,0.80174,0.91433,0.67965,0.64283,0.62832,0.33197,1.4368,0.70208,0.92814,0.000834822,0.000834822,0.000834822
44,1973.3,1.59599,0.77416,0.92279,0.64803,0.60791,0.58702,0.30562,1.48371,0.72638,0.9387,0.000820675,0.000820675,0.000820675
45,2017.64,1.57013,0.76164,0.91835,0.67037,0.62565,0.6197,0.33012,1.44855,0.69652,0.93192,0.000806528,0.000806528,0.000806528
46,2062.59,1.60452,0.77952,0.91251,0.66374,0.61987,0.60818,0.32218,1.47055,0.71476,0.93613,0.00079238,0.00079238,0.00079238
47,2106.88,1.57617,0.77115,0.91759,0.68468,0.62435,0.61676,0.33118,1.44282,0.70596,0.9299,0.000778233,0.000778233,0.000778233
48,2151.81,1.59054,0.7611,0.91874,0.65483,0.64529,0.62052,0.33013,1.44313,0.69978,0.92885,0.000764086,0.000764086,0.000764086
49,2196.19,1.56035,0.76117,0.92002,0.67841,0.64078,0.622,0.33384,1.4257,0.67969,0.92608,0.000749939,0.000749939,0.000749939
50,2241.35,1.57424,0.7567,0.91905,0.67908,0.62361,0.62245,0.3347,1.43606,0.69716,0.93351,0.000735792,0.000735792,0.000735792
51,2286.34,1.58795,0.76614,0.92218,0.68719,0.65089,0.63486,0.33832,1.45691,0.71622,0.93828,0.000721645,0.000721645,0.000721645
52,2330.57,1.56732,0.74632,0.91773,0.68927,0.63337,0.6272,0.33363,1.44421,0.70238,0.93277,0.000707498,0.000707498,0.000707498
53,2375.18,1.56313,0.74723,0.91397,0.6789,0.63597,0.63233,0.33234,1.43208,0.69711,0.9283,0.000693351,0.000693351,0.000693351
54,2420.64,1.56468,0.73808,0.91091,0.67367,0.62958,0.61277,0.32118,1.45482,0.70599,0.93544,0.000679204,0.000679204,0.000679204
55,2464.5,1.55142,0.74206,0.91812,0.68109,0.64508,0.62449,0.3356,1.44261,0.695,0.93202,0.000665057,0.000665057,0.000665057
56,2508.54,1.54746,0.7394,0.92006,0.69263,0.65525,0.64009,0.33691,1.43231,0.67301,0.92841,0.000650909,0.000650909,0.000650909
57,2553.44,1.53801,0.73047,0.91046,0.69761,0.64119,0.63434,0.34031,1.42852,0.68264,0.92658,0.000636762,0.000636762,0.000636762
58,2597.6,1.52429,0.73394,0.91015,0.68249,0.64005,0.62448,0.33557,1.43058,0.67742,0.92978,0.000622615,0.000622615,0.000622615
59,2642.82,1.5681,0.75098,0.91542,0.68315,0.6406,0.63067,0.33639,1.42509,0.67869,0.92425,0.000608468,0.000608468,0.000608468
60,2687.67,1.51805,0.72277,0.90882,0.68155,0.6518,0.64221,0.34267,1.42035,0.67189,0.92548,0.000594321,0.000594321,0.000594321
61,2732.32,1.55437,0.73645,0.91081,0.69928,0.63732,0.63459,0.33492,1.42629,0.68461,0.92632,0.000580174,0.000580174,0.000580174
62,2777.47,1.53044,0.71542,0.90388,0.71175,0.63939,0.6459,0.34429,1.41991,0.67134,0.9231,0.000566027,0.000566027,0.000566027
63,2822.63,1.52456,0.72913,0.90672,0.69678,0.63673,0.63297,0.33794,1.4235,0.68395,0.92769,0.00055188,0.00055188,0.00055188
64,2867.4,1.53013,0.71576,0.907,0.67435,0.65395,0.64098,0.34122,1.40644,0.67759,0.92159,0.000537733,0.000537733,0.000537733
65,2912.3,1.52849,0.71934,0.90192,0.66754,0.64904,0.63713,0.33684,1.44187,0.66702,0.92873,0.000523586,0.000523586,0.000523586
66,2957.18,1.49175,0.70209,0.8973,0.69438,0.65701,0.64367,0.3411,1.42246,0.68109,0.92222,0.000509438,0.000509438,0.000509438
67,3002.43,1.52954,0.71719,0.90474,0.66931,0.66864,0.63738,0.34348,1.40949,0.66401,0.92058,0.000495291,0.000495291,0.000495291
68,3047.93,1.52091,0.71026,0.89924,0.69176,0.64801,0.63751,0.34442,1.40665,0.6758,0.91732,0.000481144,0.000481144,0.000481144
69,3092.95,1.49136,0.70183,0.90334,0.68649,0.67039,0.6449,0.3463,1.41056,0.66429,0.91978,0.000466997,0.000466997,0.000466997
70,3137.26,1.49248,0.69794,0.90859,0.68943,0.65943,0.65015,0.34439,1.40084,0.66125,0.91829,0.00045285,0.00045285,0.00045285
71,3181.93,1.49904,0.70053,0.89853,0.69446,0.66904,0.64804,0.34659,1.39955,0.66071,0.91798,0.000438703,0.000438703,0.000438703
72,3226.41,1.47534,0.69074,0.90459,0.70007,0.65859,0.65046,0.34716,1.4155,0.65172,0.92709,0.000424556,0.000424556,0.000424556
73,3271.63,1.49661,0.69092,0.89756,0.66168,0.65734,0.63358,0.3377,1.41242,0.66789,0.921,0.000410409,0.000410409,0.000410409
74,3316.85,1.5033,0.69035,0.90459,0.69479,0.63601,0.6337,0.34213,1.4042,0.65332,0.91971,0.000396262,0.000396262,0.000396262
75,3361.11,1.4907,0.69164,0.90601,0.69957,0.65465,0.64732,0.34853,1.40689,0.64873,0.92221,0.000382115,0.000382115,0.000382115
76,3405.93,1.49735,0.69026,0.90089,0.70095,0.65804,0.65165,0.3497,1.40707,0.65011,0.92384,0.000367967,0.000367967,0.000367967
77,3450.66,1.47536,0.68259,0.89514,0.70764,0.6467,0.64956,0.35148,1.39743,0.65143,0.9175,0.00035382,0.00035382,0.00035382
78,3495.32,1.43273,0.66044,0.9005,0.69505,0.66458,0.65387,0.35174,1.38648,0.64325,0.91357,0.000339673,0.000339673,0.000339673
79,3540.4,1.51213,0.69483,0.89434,0.69742,0.65514,0.65676,0.3514,1.38837,0.6447,0.91718,0.000325526,0.000325526,0.000325526
80,3585.02,1.47122,0.67822,0.89933,0.7295,0.63865,0.65663,0.34958,1.39738,0.65007,0.91661,0.000311379,0.000311379,0.000311379
81,3629.43,1.44976,0.67307,0.89285,0.7154,0.66387,0.65682,0.35602,1.37569,0.63963,0.91365,0.000297232,0.000297232,0.000297232
82,3673.96,1.46887,0.67677,0.89037,0.71679,0.64278,0.64577,0.34842,1.39578,0.64642,0.92095,0.000283085,0.000283085,0.000283085
83,3718.93,1.48138,0.67636,0.89229,0.70522,0.6687,0.65909,0.35246,1.38246,0.64337,0.91544,0.000268938,0.000268938,0.000268938
84,3763.1,1.47268,0.67338,0.8962,0.72397,0.64869,0.65777,0.35275,1.37385,0.63648,0.91359,0.000254791,0.000254791,0.000254791
85,3808.56,1.48804,0.67511,0.89229,0.75605,0.63634,0.66619,0.3555,1.37345,0.63746,0.91401,0.000240644,0.000240644,0.000240644
86,3853.58,1.48886,0.66586,0.88507,0.71522,0.65089,0.66034,0.35522,1.38735,0.64103,0.91917,0.000226497,0.000226497,0.000226497
87,3898.16,1.43161,0.65355,0.88689,0.7054,0.66325,0.66097,0.35889,1.37431,0.63758,0.9132,0.000212349,0.000212349,0.000212349
88,3943.08,1.45327,0.65685,0.89113,0.71501,0.64528,0.65071,0.34917,1.37822,0.63443,0.91345,0.000198202,0.000198202,0.000198202
89,3987.69,1.43204,0.65154,0.89078,0.73541,0.63371,0.65399,0.35047,1.38376,0.63918,0.91712,0.000184055,0.000184055,0.000184055
90,4032.38,1.45123,0.65548,0.88904,0.70744,0.66999,0.66369,0.3557,1.38481,0.63375,0.91762,0.000169908,0.000169908,0.000169908
91,4076.6,1.4109,0.62228,0.8902,0.72089,0.6521,0.65676,0.35646,1.38434,0.63636,0.91721,0.000155761,0.000155761,0.000155761
92,4119.09,1.38429,0.60332,0.88322,0.70753,0.6468,0.65475,0.3535,1.38354,0.63483,0.91741,0.000141614,0.000141614,0.000141614
93,4162.33,1.37374,0.59047,0.8828,0.68791,0.66316,0.65845,0.35441,1.3802,0.63301,0.91643,0.000127467,0.000127467,0.000127467
94,4205.31,1.38012,0.59965,0.88218,0.70184,0.65814,0.65862,0.35649,1.37027,0.63538,0.91429,0.00011332,0.00011332,0.00011332
95,4248.1,1.39028,0.60115,0.87868,0.70735,0.64842,0.66098,0.35801,1.37046,0.63094,0.9122,9.91726e-05,9.91726e-05,9.91726e-05
96,4290.86,1.36835,0.58708,0.8839,0.73495,0.63334,0.66064,0.35612,1.38007,0.63226,0.91544,8.50255e-05,8.50255e-05,8.50255e-05
97,4333.94,1.37033,0.59046,0.88649,0.73363,0.64274,0.66381,0.36029,1.37379,0.62839,0.91292,7.08784e-05,7.08784e-05,7.08784e-05
98,4377.41,1.35684,0.58252,0.88677,0.72178,0.65261,0.66571,0.35876,1.37773,0.6295,0.91621,5.67313e-05,5.67313e-05,5.67313e-05
99,4420.93,1.35997,0.58463,0.87766,0.71164,0.65166,0.65832,0.35884,1.37121,0.62343,0.91363,4.25842e-05,4.25842e-05,4.25842e-05
100,4464.29,1.36056,0.57838,0.87879,0.7116,0.65333,0.65608,0.35755,1.37159,0.62438,0.91391,2.84371e-05,2.84371e-05,2.84371e-05
