epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,train/teacher_sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,val/teacher_sal_loss,lr/pg0,lr/pg1,lr/pg2
35,3246.61,1.58275,0.74915,0.91247,0.00066,0,0.6543,0.62057,0.59783,0.31686,1.47027,0.75255,0.9389,0.00082,0,0.000947999,0.000947999,0.000947999
36,3339.07,1.59878,0.75104,0.91827,0.00064,0,0.65753,0.62678,0.6096,0.32473,1.47082,0.72158,0.94062,0.0008,0,0.000933851,0.000933851,0.000933851
37,3429.49,1.5835,0.74081,0.9173,0.00061,0,0.71544,0.60342,0.6139,0.33038,1.46145,0.73583,0.93779,0.00075,0,0.000919704,0.000919704,0.000919704
38,3521.12,1.59261,0.74379,0.91538,0.00061,0,0.66491,0.62054,0.60427,0.32253,1.48837,0.7299,0.94689,0.00081,0,0.000905557,0.000905557,0.000905557
39,3612.9,1.59097,0.74994,0.914,0.00062,0,0.65792,0.59991,0.59693,0.32208,1.46999,0.74279,0.93433,0.00078,0,0.00089141,0.00089141,0.00089141
40,3704.23,1.57462,0.74372,0.91815,0.00064,0,0.63258,0.63041,0.59741,0.31747,1.45796,0.7259,0.93378,0.00081,0,0.000877263,0.000877263,0.000877263
41,3794.31,1.52115,0.71995,0.91752,0.00063,0,0.67861,0.6253,0.61989,0.32998,1.46499,0.71947,0.93826,0.00079,0,0.000863116,0.000863116,0.000863116
42,3884.51,1.53729,0.7169,0.91335,0.00061,0,0.70016,0.60048,0.60569,0.33055,1.44912,0.71408,0.93804,0.0008,0,0.000848969,0.000848969,0.000848969
43,3975.83,1.56788,0.73636,0.90868,0.00061,0,0.66586,0.63008,0.61453,0.33235,1.45654,0.69798,0.93344,0.00075,0,0.000834822,0.000834822,0.000834822
44,4066.79,1.53944,0.72252,0.90684,0.00065,0,0.68327,0.6368,0.61511,0.3324,1.4654,0.71605,0.93635,0.00078,0,0.000820675,0.000820675,0.000820675
45,4157.33,1.53898,0.72754,0.90684,0.00066,0,0.68284,0.64445,0.62427,0.33579,1.45171,0.7045,0.93525,0.0008,0,0.000806528,0.000806528,0.000806528
46,4248.46,1.53852,0.71829,0.91168,0.00062,0,0.67453,0.60903,0.59575,0.31362,1.47935,0.70641,0.93717,0.0008,0,0.00079238,0.00079238,0.00079238
