epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,train/teacher_sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,val/teacher_sal_loss,lr/pg0,lr/pg1,lr/pg2,lambda_sal,beta_teacher
32,2952.87,1.60658,0.76918,0.92333,0.00101,0,0.64923,0.62358,0.60053,0.32238,1.47468,0.73131,0.93515,0.0003,0,0.00099044,0.00099044,0.00099044,0.163876,0
33,3043.49,1.5556,0.75903,0.92028,0.00099,0,0.65712,0.59488,0.5864,0.31151,1.48297,0.73489,0.9371,0.0003,0,0.000976293,0.000976293,0.000976293,0.161352,0
34,3135.03,1.61088,0.75722,0.91577,0.00101,0,0.66611,0.62519,0.61364,0.32857,1.47458,0.71238,0.93677,0.0003,0,0.000962146,0.000962146,0.000962146,0.158765,0
35,3225.51,1.58411,0.75107,0.90835,0.00096,0,0.67032,0.61421,0.60517,0.32198,1.46685,0.74117,0.93526,0.00029,0,0.000947999,0.000947999,0.000947999,0.156118,0
36,3317.27,1.60142,0.75453,0.91502,0.00096,0,0.68967,0.62664,0.62315,0.32691,1.46659,0.732,0.93861,0.00033,0,0.000933851,0.000933851,0.000933851,0.153414,0
37,3407.67,1.5826,0.74257,0.91515,0.0009,0,0.681,0.63395,0.61852,0.32821,1.45888,0.74285,0.93664,0.00029,0,0.000919704,0.000919704,0.000919704,0.150655,0
38,3499.03,1.59311,0.74718,0.9136,0.00088,0,0.70003,0.62418,0.62,0.32677,1.49591,0.72233,0.94536,0.00029,0,0.000905557,0.000905557,0.000905557,0.147846,0
39,3590.54,1.59525,0.74762,0.91325,0.00087,0,0.65635,0.62407,0.60983,0.32562,1.47108,0.73883,0.93518,0.0003,0,0.00089141,0.00089141,0.00089141,0.144989,0
40,3681.98,1.57377,0.74385,0.91516,0.00087,0,0.65445,0.61185,0.59547,0.31912,1.45288,0.71888,0.93309,0.0003,0,0.000877263,0.000877263,0.000877263,0.142087,0
41,3771.63,1.5211,0.71823,0.91483,0.00083,0,0.68552,0.61943,0.62348,0.33343,1.45785,0.72407,0.93337,0.00029,0,0.000863116,0.000863116,0.000863116,0.139144,0
42,3862.51,1.54011,0.71922,0.90994,0.0008,0,0.67983,0.62225,0.60632,0.33168,1.43911,0.72752,0.92851,0.00028,0,0.000848969,0.000848969,0.000848969,0.136162,0
43,3953.77,1.56767,0.73731,0.90676,0.00078,0,0.68593,0.62836,0.62773,0.33532,1.45139,0.6945,0.93408,0.00028,0,0.000834822,0.000834822,0.000834822,0.133146,0
44,4044.89,1.54525,0.72335,0.90635,0.00081,0,0.68549,0.61499,0.61279,0.32626,1.47278,0.7208,0.94004,0.0003,0,0.000820675,0.000820675,0.000820675,0.130099,0
