epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,train/teacher_sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,val/teacher_sal_loss,lr/pg0,lr/pg1,lr/pg2,lambda_sal,beta_teacher
32,3096.61,1.60603,0.77234,0.91788,0.01953,0,0.68624,0.60298,0.60856,0.32303,1.48593,0.73206,0.92949,0.009,0,0.00099044,0.00099044,0.00099044,0.163876,0
33,3192.28,1.55956,0.75788,0.9154,0.01964,0,0.65032,0.59771,0.59143,0.31159,1.49996,0.73898,0.93633,0.00897,0,0.000976293,0.000976293,0.000976293,0.161352,0
34,3289.86,1.62119,0.76104,0.91313,0.01585,0,0.68029,0.59873,0.60118,0.32211,1.48693,0.73145,0.93328,0.00815,0,0.000962146,0.000962146,0.000962146,0.158765,0
35,3385.53,1.58993,0.75597,0.90748,0.01797,0,0.66829,0.60741,0.60787,0.31619,1.48106,0.73587,0.93334,0.00816,0,0.000947999,0.000947999,0.000947999,0.156118,0
36,3482.51,1.60277,0.75493,0.91103,0.01493,0,0.66078,0.61422,0.59877,0.31667,1.49493,0.74174,0.93469,0.00824,0,0.000933851,0.000933851,0.000933851,0.153414,0
37,3577.7,1.58838,0.74397,0.91178,0.01536,0,0.67591,0.62623,0.61155,0.32463,1.4703,0.74898,0.93029,0.00762,0,0.000919704,0.000919704,0.000919704,0.150655,0
38,3673.49,1.60442,0.7559,0.91051,0.01715,0,0.70106,0.61347,0.61504,0.33235,1.47643,0.71856,0.93216,0.00887,0,0.000905557,0.000905557,0.000905557,0.147846,0
39,3769.79,1.58683,0.75549,0.90577,0.01567,0,0.67829,0.6061,0.60347,0.31812,1.47208,0.72154,0.92421,0.00809,0,0.00089141,0.00089141,0.00089141,0.144989,0
40,3866.28,1.57818,0.7514,0.91169,0.01493,0,0.65298,0.63348,0.6119,0.32511,1.466,0.73067,0.92874,0.00848,0,0.000877263,0.000877263,0.000877263,0.142087,0
41,3960.81,1.52876,0.72522,0.9133,0.01489,0,0.68653,0.63462,0.62493,0.33344,1.45206,0.70314,0.92294,0.00778,0,0.000863116,0.000863116,0.000863116,0.139144,0
42,4055.92,1.54776,0.72852,0.90906,0.01291,0,0.69549,0.61329,0.61703,0.33314,1.43611,0.72046,0.92341,0.00774,0,0.000848969,0.000848969,0.000848969,0.136162,0
43,4152.15,1.57606,0.73992,0.90445,0.0148,0,0.71027,0.61519,0.62534,0.33289,1.45709,0.6996,0.92598,0.00815,0,0.000834822,0.000834822,0.000834822,0.133146,0
44,4247.35,1.5446,0.72581,0.90271,0.01334,0,0.70193,0.60905,0.61904,0.33045,1.46671,0.71682,0.93081,0.00737,0,0.000820675,0.000820675,0.000820675,0.130099,0
45,4342,1.54751,0.73504,0.90264,0.01252,0,0.68131,0.6336,0.6304,0.33439,1.47249,0.71843,0.9304,0.00792,0,0.000806528,0.000806528,0.000806528,0.127023,0
46,4437.43,1.55007,0.72369,0.90642,0.01161,0,0.69146,0.61333,0.61102,0.31395,1.48802,0.72541,0.92742,0.00811,0,0.00079238,0.00079238,0.00079238,0.123923,0
47,4533.29,1.53057,0.71283,0.90391,0.01242,0,0.69254,0.6332,0.62806,0.33522,1.45906,0.70451,0.92694,0.00764,0,0.000778233,0.000778233,0.000778233,0.120801,0
48,4629.74,1.55178,0.72254,0.89946,0.01023,0,0.70117,0.64275,0.63163,0.33371,1.47311,0.69785,0.93465,0.0075,0,0.000764086,0.000764086,0.000764086,0.117662,0
49,4726.57,1.549,0.71562,0.89877,0.01137,0,0.71328,0.62142,0.62785,0.33902,1.42856,0.71314,0.91999,0.00772,0,0.000749939,0.000749939,0.000749939,0.114509,0
50,4823.83,1.52748,0.70748,0.89901,0.01042,0,0.71359,0.62242,0.63541,0.34324,1.41427,0.68711,0.91611,0.0075,0,0.000735792,0.000735792,0.000735792,0.111345,0
51,4920.92,1.53375,0.7052,0.90031,0.0102,0,0.66967,0.65013,0.63226,0.33453,1.44638,0.70407,0.9258,0.00747,0,0.000721645,0.000721645,0.000721645,0.108174,0
52,5017.98,1.53299,0.70476,0.89374,0.00972,0,0.65718,0.65084,0.62819,0.33295,1.44474,0.72156,0.92236,0.0078,0,0.000707498,0.000707498,0.000707498,0.105,0
53,5115.16,1.49582,0.705,0.9001,0.00819,0,0.67937,0.63656,0.62945,0.33473,1.45482,0.69688,0.92464,0.00747,0,0.000693351,0.000693351,0.000693351,0.101826,0
54,5212.78,1.52511,0.69693,0.89891,0.00927,0,0.68532,0.63184,0.61807,0.33432,1.43829,0.70697,0.9207,0.007,0,0.000679204,0.000679204,0.000679204,0.0986547,0
55,5310.19,1.53013,0.70296,0.89149,0.00831,0,0.69163,0.6337,0.6236,0.33113,1.43489,0.69253,0.91978,0.00663,0,0.000665057,0.000665057,0.000665057,0.0954909,0
56,5407.74,1.53344,0.7107,0.89729,0.00809,0,0.68058,0.63413,0.62486,0.33377,1.44088,0.68238,0.9209,0.00734,0,0.000650909,0.000650909,0.000650909,0.0923377,0
57,5504.36,1.50733,0.69515,0.89112,0.00798,0,0.70937,0.64289,0.63582,0.34436,1.41734,0.68527,0.91511,0.00693,0,0.000636762,0.000636762,0.000636762,0.0891987,0
58,5600.53,1.50094,0.68913,0.88765,0.00678,0,0.7047,0.64144,0.63354,0.33886,1.41649,0.68363,0.91276,0.00747,0,0.000622615,0.000622615,0.000622615,0.0860773,0
59,5697.35,1.51074,0.69773,0.8917,0.00824,0,0.69815,0.65121,0.64257,0.344,1.41916,0.67263,0.91493,0.0073,0,0.000608468,0.000608468,0.000608468,0.0829771,0
60,5793.92,1.48292,0.67103,0.8969,0.00656,0,0.71272,0.63272,0.64314,0.33986,1.43532,0.68022,0.91994,0.00742,0,0.000594321,0.000594321,0.000594321,0.0799014,0
61,5890.63,1.50147,0.68149,0.89122,0.00613,0,0.69192,0.64441,0.64116,0.3424,1.42733,0.70113,0.91755,0.0079,0,0.000580174,0.000580174,0.000580174,0.0768538,0
62,5986.46,1.48742,0.66987,0.88768,0.00675,0,0.70519,0.66236,0.64796,0.34793,1.42739,0.67712,0.91672,0.0074,0,0.000566027,0.000566027,0.000566027,0.0738376,0
63,6083.41,1.48237,0.67191,0.89115,0.00551,0,0.68576,0.65886,0.64261,0.34358,1.41706,0.67044,0.91879,0.00717,0,0.00055188,0.00055188,0.00055188,0.0708563,0
64,6181.07,1.49355,0.67465,0.88968,0.00599,0,0.73166,0.63916,0.65661,0.34894,1.41272,0.66696,0.91401,0.00675,0,0.000537733,0.000537733,0.000537733,0.067913,0
65,6279.03,1.48186,0.6653,0.88291,0.00485,0,0.69225,0.64782,0.64551,0.34504,1.42262,0.6803,0.92005,0.00684,0,0.000523586,0.000523586,0.000523586,0.0650112,0
66,6377.25,1.52918,0.6838,0.88072,0.00517,0,0.72827,0.64338,0.65671,0.35394,1.4127,0.66024,0.91649,0.0063,0,0.000509438,0.000509438,0.000509438,0.062154,0
67,6474.13,1.44899,0.6516,0.88659,0.00447,0,0.73011,0.65078,0.65755,0.35109,1.4189,0.66002,0.91547,0.00651,0,0.000495291,0.000495291,0.000495291,0.0593447,0
68,6571.49,1.45405,0.65565,0.88473,0.00475,0,0.7179,0.65831,0.6517,0.3514,1.40278,0.66356,0.9124,0.00652,0,0.000481144,0.000481144,0.000481144,0.0565864,0
